,sampling,evaluations,regression,shapiq_post_processing,total,game_id,id_explain,approximator,budget,n_players,id_config_approximator
0,0.0006349086761474609,0.029019594192504883,1.4374334812164307,5.0067901611328125e-06,1.4670929908752441,california_housing_random_forest,0,RegressionMSR,9,8,37
0,0.0004341602325439453,0.013564109802246094,0.04667997360229492,4.5299530029296875e-06,0.06068277359008789,california_housing_random_forest,0,RegressionMSR,13,8,37
0,0.0005574226379394531,0.025586605072021484,0.044176578521728516,5.245208740234375e-06,0.07032585144042969,california_housing_random_forest,0,RegressionMSR,18,8,37
0,0.0008311271667480469,0.036452531814575195,0.024260759353637695,4.0531158447265625e-06,0.061548471450805664,california_housing_random_forest,0,RegressionMSR,27,8,37
0,0.0014028549194335938,0.053344011306762695,0.027568340301513672,4.5299530029296875e-06,0.08231973648071289,california_housing_random_forest,0,RegressionMSR,39,8,37
0,0.001753091812133789,0.08368206024169922,0.05150294303894043,4.0531158447265625e-06,0.13694214820861816,california_housing_random_forest,0,RegressionMSR,57,8,37
0,0.0019330978393554688,0.13627171516418457,0.04375267028808594,4.0531158447265625e-06,0.1819615364074707,california_housing_random_forest,0,RegressionMSR,83,8,37
0,0.0032939910888671875,0.17666840553283691,0.034319400787353516,7.3909759521484375e-06,0.21428918838500977,california_housing_random_forest,0,RegressionMSR,121,8,37
0,0.00356292724609375,0.2539043426513672,0.060166358947753906,3.814697265625e-06,0.31763744354248047,california_housing_random_forest,0,RegressionMSR,176,8,37
0,0.0006589889526367188,0.32824039459228516,0.030111312866210938,3.337860107421875e-06,0.35901403427124023,california_housing_random_forest,0,RegressionMSR,256,8,37
0,0.0004780292510986328,0.015831470489501953,0.00020956993103027344,2.6226043701171875e-05,0.01654529571533203,california_housing_random_forest,1,LeverageSHAP,9,8,37
0,0.0006582736968994141,0.020388126373291016,0.00022912025451660156,2.3365020751953125e-05,0.021298885345458984,california_housing_random_forest,1,LeverageSHAP,13,8,37
0,0.0008409023284912109,0.030157089233398438,0.00022649765014648438,3.4332275390625e-05,0.03125882148742676,california_housing_random_forest,1,LeverageSHAP,18,8,37
0,0.0012040138244628906,0.05016660690307617,0.0002429485321044922,2.7894973754882812e-05,0.05164146423339844,california_housing_random_forest,1,LeverageSHAP,27,8,37
0,0.0015687942504882812,0.06079292297363281,0.00031638145446777344,2.9325485229492188e-05,0.06270742416381836,california_housing_random_forest,1,LeverageSHAP,39,8,37
0,0.002207517623901367,0.0977320671081543,0.0003261566162109375,3.147125244140625e-05,0.10029721260070801,california_housing_random_forest,1,LeverageSHAP,57,8,37
0,0.002766132354736328,0.15891361236572266,0.00031113624572753906,3.0040740966796875e-05,0.16202092170715332,california_housing_random_forest,1,LeverageSHAP,83,8,37
0,0.0041429996490478516,0.18370437622070312,0.00030493736267089844,2.5987625122070312e-05,0.18817830085754395,california_housing_random_forest,1,LeverageSHAP,121,8,37
0,0.0036416053771972656,0.24888896942138672,0.00029921531677246094,2.86102294921875e-05,0.25285840034484863,california_housing_random_forest,1,LeverageSHAP,176,8,37
0,0.0008068084716796875,0.3333475589752197,0.0003066062927246094,3.147125244140625e-05,0.33449244499206543,california_housing_random_forest,1,LeverageSHAP,256,8,37
