approximator,id_config_approximator,used_budget,n_players,MSE_mean,MSE_q1,MSE_q2,MSE_q3,game_id
PolySHAP-3ADD-dlog(d),39,1895,16,0.0002913627474251183,0.00019204409268945,0.0002496031692325,0.00035230481472695,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD-dlog(d),39,4156,16,0.00011596857700671874,8.202894749133796e-05,0.0001037760435045,0.000141586843951675,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD-dlog(d),39,9117,16,3.125926643714739e-05,2.338441567019297e-05,2.7068811733059644e-05,3.2123453079522926e-05,CIFAR-10 ViT16 ($d=16$)
PolySHAP-3ADD-dlog(d),39,20000,16,8.488215504285843e-06,5.5488014319596535e-06,7.113591479225725e-06,9.533356583899717e-06,CIFAR-10 ViT16 ($d=16$)
PolySHAP-4ADD,37,4156,16,6.578844680160026e-05,2.584382337143479e-05,5.975612652011996e-05,7.680977492831e-05,CIFAR-10 ViT16 ($d=16$)
PolySHAP-4ADD,37,9117,16,1.5111958770546327e-05,7.919579121736814e-06,1.1844479789073455e-05,1.8728877969570744e-05,CIFAR-10 ViT16 ($d=16$)
PolySHAP-4ADD,37,20000,16,3.294150963038166e-06,1.9288500138222967e-06,2.9370416512238424e-06,3.9581219938456725e-06,CIFAR-10 ViT16 ($d=16$)
PolySHAP-4ADD,39,4156,16,0.0002148237681866952,8.794325209191659e-05,0.00018804473502124998,0.00031527032359169997,CIFAR-10 ViT16 ($d=16$)
PolySHAP-4ADD,39,9117,16,1.4898765583069112e-05,7.852899418139159e-06,1.2445827867859676e-05,1.973816332846418e-05,CIFAR-10 ViT16 ($d=16$)
PolySHAP-4ADD,39,20000,16,2.8605233378287127e-06,1.6916454713077014e-06,2.3186718333372683e-06,4.060415448642752e-06,CIFAR-10 ViT16 ($d=16$)
RegressionMSR,37,17,16,0.11428147424308924,0.05342584068427253,0.08223272982937894,0.13525687675750778,CIFAR-10 ViT16 ($d=16$)
RegressionMSR,37,37,16,0.05654002085603425,0.026458822269019452,0.04900945103117675,0.07149010533687973,CIFAR-10 ViT16 ($d=16$)
RegressionMSR,37,82,16,0.025985134954255525,0.011045107952874725,0.019957779999681652,0.0359514873131999,CIFAR-10 ViT16 ($d=16$)
RegressionMSR,37,179,16,0.007638057305852863,0.0044467445726778,0.00555084190377275,0.00835055535454085,CIFAR-10 ViT16 ($d=16$)
RegressionMSR,37,394,16,0.002248166289449963,0.001866937115372275,0.00211475798010195,0.002766590476358025,CIFAR-10 ViT16 ($d=16$)
RegressionMSR,37,864,16,0.0005090032130897867,0.00033368998534214996,0.0004771978901814,0.0006411396382016,CIFAR-10 ViT16 ($d=16$)
RegressionMSR,37,1895,16,0.00014275816766363928,6.586631219422911e-05,0.00015020597493975001,0.00018043443507382502,CIFAR-10 ViT16 ($d=16$)
RegressionMSR,37,4156,16,4.37032972722878e-05,2.4532024755650005e-05,3.6855924830801e-05,5.8375640150168364e-05,CIFAR-10 ViT16 ($d=16$)
RegressionMSR,37,9117,16,1.1783522435561113e-05,7.693686223583673e-06,1.0650638617925748e-05,1.4754012500427798e-05,CIFAR-10 ViT16 ($d=16$)
RegressionMSR,37,20000,16,2.772540738909103e-06,1.8552575875216082e-06,2.224808572547299e-06,3.374266083996878e-06,CIFAR-10 ViT16 ($d=16$)
RegressionMSR,39,17,16,0.13405465422084858,0.07930556150651567,0.1092757777698516,0.13094119531363427,CIFAR-10 ViT16 ($d=16$)
RegressionMSR,39,37,16,0.04936339879964183,0.029992336625710825,0.04259563121012095,0.06196553761718127,CIFAR-10 ViT16 ($d=16$)
RegressionMSR,39,82,16,0.022063183601185147,0.015103740442072326,0.0197807949961976,0.026954117297978,CIFAR-10 ViT16 ($d=16$)
RegressionMSR,39,179,16,0.00856675718683547,0.0048996427256783,0.00692709088014275,0.012117362150452074,CIFAR-10 ViT16 ($d=16$)
RegressionMSR,39,394,16,0.0023489986159731897,0.0014204061462903999,0.0017306788422988,0.003026403175590375,CIFAR-10 ViT16 ($d=16$)
RegressionMSR,39,864,16,0.0005943262906014167,0.00038067868557477497,0.0004890066821891001,0.00082045011771695,CIFAR-10 ViT16 ($d=16$)
RegressionMSR,39,1895,16,0.00034033569727840725,0.000116546635183925,0.00018101476039374999,0.00032374325921485,CIFAR-10 ViT16 ($d=16$)
RegressionMSR,39,4156,16,0.0001733503441555673,4.943994131939271e-05,8.363302234950425e-05,0.000163298863340725,CIFAR-10 ViT16 ($d=16$)
RegressionMSR,39,9117,16,5.627552900542794e-05,1.0560666016593615e-05,2.816629351890265e-05,4.7149477772430355e-05,CIFAR-10 ViT16 ($d=16$)
RegressionMSR,39,20000,16,1.4470859473229639e-05,4.037259700861076e-06,6.6125888740038744e-06,1.3611236261913168e-05,CIFAR-10 ViT16 ($d=16$)
SVARM,37,17,16,0.16540478796157074,0.1138055820596214,0.1514476168734671,0.20683064413863095,CIFAR-10 ViT16 ($d=16$)
SVARM,37,37,16,0.15988933545267014,0.09946861086040772,0.1418854126985159,0.22826715535751418,CIFAR-10 ViT16 ($d=16$)
SVARM,37,82,16,0.14094620082622164,0.08831483092266033,0.13188893075723818,0.1836930658529224,CIFAR-10 ViT16 ($d=16$)
